method_name,metric_scope,domain_scope,anchor_pct,label_fraction_pct,latent_dim,auc_of_auroc,auc_of_selacc,earliest_gt_0_6,auroc_at_100,stop_acc_at_100,auroc,selacc_at_10,stop_acc,pretrain_best_loss,pretrain_best_epoch,notes
no_svd_logreg,aggregate,math,,20,,0.9556864367112136,0.9978021978021978,0.1,0.9786283194940193,0.75,,,,,,no svd logreg
no_svd_logreg,aggregate,science,,20,,0.8056205570354923,0.98515625,0.1,0.8498642074779565,0.7166666666666667,,,,,,no svd logreg
no_svd_logreg,aggregate,coding,,20,,0.6030933073186595,0.544375,0.2,0.6046097877083793,0.64,,,,,,no svd logreg
no_svd_logreg,aggregate,ms,,20,,0.9223384634499422,0.994991987179487,0.1,0.9500140723793385,0.7425925925925926,,,,,,no svd logreg
no_svd_logreg,anchor,coding,70,20,,,,,,,0.6464787169012521,0.5875,0.64,,,no svd logreg
no_svd_logreg,anchor,coding,100,20,,,,,,,0.6046097877083793,0.60625,0.64,,,no svd logreg
no_svd_logreg,aggregate,math,,50,,0.9583307329395883,0.9978021978021978,0.1,0.9833979212610616,0.7142857142857143,,,,,,no svd logreg
no_svd_logreg,aggregate,science,,50,,0.8154611204121114,0.9755208333333334,0.1,0.8753018102674429,0.6833333333333333,,,,,,no svd logreg
no_svd_logreg,aggregate,coding,,50,,0.473287119765993,0.4125,,0.5645387476373391,0.56,,,,,,no svd logreg
no_svd_logreg,aggregate,ms,,50,,0.9265819301557046,0.9928507834757833,0.1,0.9593765632624797,0.7074074074074075,,,,,,no svd logreg
no_svd_logreg,anchor,coding,70,50,,,,,,,0.5401624979089767,0.59375,0.6,,,no svd logreg
no_svd_logreg,anchor,coding,100,50,,,,,,,0.5645387476373391,0.6,0.56,,,no svd logreg
no_svd_logreg,aggregate,math,,100,,0.9592605454377112,0.9972527472527473,0.1,0.9837038438187558,0.75,,,,,,no svd logreg
