condition_id,domain,seed,model_name,model_kind,rank,feature_count,representation_dim,auc_of_auroc,auc_of_selacc,auroc_at_100,stop_acc_at_100,earliest_gt_0_6,num_caches,samples,mean_anchor_cv_auroc,trained_anchor_count,fallback_anchor_count,inference_time_sec,layer,condition_label,description,base_feature_count,decoy_family,decoy_level
token_only,science,43,no_svd,no_svd,,11,22,0.8359802409230663,0.9684895833333333,0.8676071493937489,0.7166666666666666,0.1,2,3840,0.7126712237933309,4,0,0.14274726598523557,canonical,L1 token-only,"All 11 token-level features, no trajectory, no availability flags.",11,,
token_only,science,43,svd_r4,svd,4,11,22,0.7930609899292544,0.9783854166666666,0.8176254603501908,0.7666666666666667,0.1,2,3840,0.6397781345605777,4,0,0.1934888840187341,canonical,L1 token-only,"All 11 token-level features, no trajectory, no availability flags.",11,,
token_only,science,43,svd_r8,svd,8,11,22,0.8207513444595697,0.97578125,0.8646993958249167,0.7166666666666666,0.1,2,3840,0.7053944878480174,4,0,0.15763490903191268,canonical,L1 token-only,"All 11 token-level features, no trajectory, no availability flags.",11,,
token_only,science,43,svd_r12,svd,12,11,22,0.8342420073488129,0.9682291666666666,0.8670148612004063,0.7166666666666667,0.1,2,3840,0.7106619150681848,4,0,0.1570641570724547,canonical,L1 token-only,"All 11 token-level features, no trajectory, no availability flags.",11,,
token_only,science,43,svd_r16,svd,16,11,22,0.8320821734719522,0.9684895833333333,0.8606424955821936,0.7333333333333333,0.1,2,3840,0.7138141469138729,4,0,0.15910498891025782,canonical,L1 token-only,"All 11 token-level features, no trajectory, no availability flags.",11,,
token_only,science,44,no_svd,no_svd,,11,22,0.8359802409230663,0.9684895833333333,0.8676071493937489,0.7166666666666666,0.1,2,3840,0.7126712237933309,4,0,0.13615769799798727,canonical,L1 token-only,"All 11 token-level features, no trajectory, no availability flags.",11,,
token_only,science,44,svd_r4,svd,4,11,22,0.7930609899292544,0.9783854166666666,0.8176254603501908,0.7666666666666667,0.1,2,3840,0.6397781345605777,4,0,0.15650150901637971,canonical,L1 token-only,"All 11 token-level features, no trajectory, no availability flags.",11,,
token_only,science,44,svd_r8,svd,8,11,22,0.8207513444595697,0.97578125,0.8646993958249167,0.7166666666666666,0.1,2,3840,0.7053944878480174,4,0,0.154011967824772,canonical,L1 token-only,"All 11 token-level features, no trajectory, no availability flags.",11,,
token_only,science,44,svd_r12,svd,12,11,22,0.8342420073488129,0.9682291666666666,0.8670148612004063,0.7166666666666667,0.1,2,3840,0.7106619150681848,4,0,0.15412892797030509,canonical,L1 token-only,"All 11 token-level features, no trajectory, no availability flags.",11,,
token_only,science,44,svd_r16,svd,16,11,22,0.8320821734719522,0.9684895833333333,0.8606424955821936,0.7333333333333333,0.1,2,3840,0.7138141469138729,4,0,0.1583913981448859,canonical,L1 token-only,"All 11 token-level features, no trajectory, no availability flags.",11,,
token_only,coding,42,no_svd,no_svd,,11,22,0.4082374589416843,0.3275,0.43294264421024986,0.56,,1,1600,0.5503447003665155,4,0,0.06003878195770085,canonical,L1 token-only,"All 11 token-level features, no trajectory, no availability flags.",11,,
token_only,coding,42,svd_r4,svd,4,11,22,0.4891519278843222,0.44937499999999997,0.47018239975986453,0.52,,1,1600,0.49159266070935403,4,0,0.06491829478181899,canonical,L1 token-only,"All 11 token-level features, no trajectory, no availability flags.",11,,
token_only,coding,42,svd_r8,svd,8,11,22,0.4021322964984937,0.284375,0.4287621611565274,0.56,,1,1600,0.5537075145838672,4,0,0.06506210705265403,canonical,L1 token-only,"All 11 token-level features, no trajectory, no availability flags.",11,,
